epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,565.19,0.79693,0.95662,1.02506,0.37883,0.47059,0.34738,0.28645,1.39491,3.24942,2.1201,0.0011882,0.0011882,0.0011882
43,578.188,0.92488,1.02053,1.12587,0.44064,0.47059,0.34065,0.29085,1.39449,3.00927,2.1873,0.0011684,0.0011684,0.0011684
44,591.291,0.84848,0.96137,1.07097,0.43401,0.47059,0.32329,0.24525,1.51932,2.95928,2.36956,0.0011486,0.0011486,0.0011486
45,604.49,0.90198,0.97142,1.08419,0.43401,0.47059,0.32329,0.24525,1.51932,2.95928,2.36956,0.0011288,0.0011288,0.0011288
46,617.404,0.87644,0.93634,1.08642,0.53007,0.52941,0.41541,0.27822,1.71362,2.70406,2.42361,0.001109,0.001109,0.001109
47,688.961,0.78089,0.91596,0.99032,0.64843,0.52941,0.53899,0.31747,1.70401,2.12519,2.08403,0.0010892,0.0010892,0.0010892
48,702.174,0.88047,0.99905,1.06394,1,0.51939,0.567,0.34893,1.57922,1.90209,1.75505,0.0010694,0.0010694,0.0010694
49,715.259,0.77365,0.93694,0.99665,1,0.51939,0.567,0.34893,1.57922,1.90209,1.75505,0.0010496,0.0010496,0.0010496
50,728.279,0.7516,0.87963,0.97893,0.56606,0.47059,0.51548,0.32993,1.46042,1.99311,1.65898,0.0010298,0.0010298,0.0010298
51,741.272,0.80557,0.88601,1.04166,0.7962,0.35294,0.43818,0.29396,1.44645,2.20624,1.62705,0.00101,0.00101,0.00101
52,754.49,0.82781,0.93234,1.0545,0.49655,0.46451,0.44222,0.29387,1.46443,2.09473,1.62601,0.0009902,0.0009902,0.0009902
53,768.03,0.81451,0.92258,1.08117,0.49655,0.46451,0.44222,0.29387,1.46443,2.09473,1.62601,0.0009704,0.0009704,0.0009704
54,781.372,0.8627,0.89864,1.05492,0.42834,0.52941,0.46586,0.3539,1.37097,1.94141,1.56031,0.0009506,0.0009506,0.0009506
55,794.674,0.81265,0.86622,1.04398,0.65634,0.47059,0.53111,0.35581,1.47223,1.98699,1.77745,0.0009308,0.0009308,0.0009308
56,808.068,0.86627,0.89704,1.09205,0.85904,0.47059,0.54917,0.39748,1.52609,2.01704,1.79241,0.000911,0.000911,0.000911
57,821.139,0.79969,0.86743,1.01949,0.85904,0.47059,0.54917,0.39748,1.52609,2.01704,1.79241,0.0008912,0.0008912,0.0008912
58,834.381,0.82645,0.90011,1.06463,0.79364,0.52941,0.55527,0.42539,1.55716,1.99155,1.77357,0.0008714,0.0008714,0.0008714
59,847.377,0.80915,0.84537,1.01235,0.73963,0.52941,0.56358,0.41282,1.53887,1.92757,1.71144,0.0008516,0.0008516,0.0008516
60,893.516,0.8032,0.85255,1.01098,0.96358,0.41176,0.54341,0.38767,1.5705,1.96752,1.69177,0.0008318,0.0008318,0.0008318
61,929.044,0.78178,0.84213,1.02913,0.96358,0.41176,0.54341,0.38767,1.5705,1.96752,1.69177,0.000812,0.000812,0.000812
62,943.028,0.76593,0.79416,1.03244,0.72108,0.47059,0.49248,0.35248,1.60178,1.96762,1.70508,0.0007922,0.0007922,0.0007922
63,956.255,0.67722,0.79191,0.96317,0.7246,0.46482,0.49844,0.36448,1.60884,1.92984,1.72491,0.0007724,0.0007724,0.0007724
64,969.628,0.73377,0.81571,1.01392,0.96955,0.41176,0.54954,0.41535,1.27186,1.83075,1.5329,0.0007526,0.0007526,0.0007526
65,982.884,0.67239,0.72634,0.95249,0.96955,0.41176,0.54954,0.41535,1.27186,1.83075,1.5329,0.0007328,0.0007328,0.0007328
66,996.044,0.7825,0.81594,0.99765,0.88616,0.45903,0.55505,0.43819,1.15573,1.82257,1.52696,0.000713,0.000713,0.000713
67,1009.22,0.68782,0.82265,1.00975,0.93641,0.41176,0.5409,0.43426,1.15374,1.89896,1.51817,0.0006932,0.0006932,0.0006932
68,1022.49,0.83616,0.83992,1.08208,0.86545,0.41176,0.53656,0.42556,1.17351,1.96386,1.54091,0.0006734,0.0006734,0.0006734
69,1035.56,0.76104,0.76706,0.976,0.86545,0.41176,0.53656,0.42556,1.17351,1.96386,1.54091,0.0006536,0.0006536,0.0006536
70,1048.64,0.7238,0.73072,1.00741,0.86028,0.41176,0.53725,0.40101,1.26608,1.95609,1.56569,0.0006338,0.0006338,0.0006338
71,1061.81,0.75005,0.7497,1.00317,0.98887,0.41176,0.53661,0.37772,1.39009,1.92484,1.60962,0.000614,0.000614,0.000614
72,1074.93,0.73164,0.77879,0.98556,0.84168,0.41176,0.49358,0.36211,1.37858,1.84408,1.57087,0.0005942,0.0005942,0.0005942
73,1132.29,0.72243,0.69513,0.99586,0.84168,0.41176,0.49358,0.36211,1.37858,1.84408,1.57087,0.0005744,0.0005744,0.0005744
74,1151.54,0.73837,0.78453,1.02531,0.85497,0.41176,0.48101,0.33499,1.36955,1.87545,1.56026,0.0005546,0.0005546,0.0005546
75,1164.65,0.72085,0.71592,1.01679,0.85489,0.41176,0.48836,0.35658,1.37697,1.88031,1.58052,0.0005348,0.0005348,0.0005348
